pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,11353,,,1,,1,Deuce,Jo-Yee Chan,Far,1.0,Body,93.0,-208.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,1st Serve In,Body,
0-0,0-0,0-0,,18190,,,1,,2,Deuce,Jo-Yee Chan,Far,,,,,,,,,,200.0,-499.0,Down the Line,Forehand,,,,,,,,,,3.0,272.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,,0,,,Short
0-0,0-0,0-0,,18620,,,1,,3,Deuce,Jo-Yee Chan,Far,,,,,,,,,,-37.0,471.0,Crosscourt,Forehand,,,,,,,,,,53.0,-384.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,,,Deep
0-0,0-0,0-0,,19927,,,1,,4,Deuce,Jo-Yee Chan,Far,,,,,,,,,,141.0,-515.0,Down the Line,Forehand,,,,,,,,,,69.0,261.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,,0,,,Short
0-0,0-0,0-0,,20286,,,1,,5,Ad,Jo-Yee Chan,Far,,,,,,,,,,74.0,479.0,Crosscourt,Backhand,,,,,,,,,,0.0,-403.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,,,Deep
0-0,0-0,0-0,,21403,,,1,,6,Ad,Jo-Yee Chan,Far,,,,,,,,,,-5.0,-542.0,Down the Line,Forehand,,,,,,,,,,-69.0,269.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,1,,,0,,,Short
0-0,0-0,0-0,,22876,,,1,,7,Deuce,Jo-Yee Chan,Far,,,,,,,,,,-120.0,479.0,Crosscourt,Forehand,,,,,,,,,,3.0,-264.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,,,Short
0-0,0-0,0-0,,24471,,,1,,8,Deuce,Jo-Yee Chan,Far,,,,,,,,,,45.0,-472.0,Crosscourt,Forehand,,,,,,,,,,-61.0,258.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,,0,,,Short
0-0,0-0,0-0,,25580,1.0,,1,,9,Deuce,Jo-Yee Chan,Far,,,,,,,,,,-93.0,474.0,Down the Line,Forehand,,,,,,,,,,-59.0,2.0,,,,1.0,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,Elise Wagle,1,,,
15-0,0-0,0-0,1.0,45545,,,2,,1,Ad,Jo-Yee Chan,Far,1.0,Body,-91.0,-242.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,1st Serve In,Body,
