isErrorWideL,shotDirection,isSlice,secondServeZone,pointNumber,clientTeam,Event,secondServeXCoord,firstServeYCoord,firstServeIn,lineupPosition,shotInRally,Date,Surface,firstServeZone,isErrorLong,isErrorNet,player1Hand,player2Hand,shotLocationY,isExcitingPoint,isOverhead,pointScore,setScore,isApproach,player1Name,matchDetails,gameScore,serverName,isDropshot,shotFhBh,isBreakPoint,isLob,pointStartTime,shotLocationX,isLet,isVolley,isErrorWideR,matchVenue,pointEndTime,firstServeXCoord,isAce,serverFarNear,secondServeIn,Division,side,Notes,atNetPlayer2,shotContactX,atNetPlayer1,isPointEnd,Round,isPointStart,player2Name,isWinner,opponentTeam,secondServeYCoord,shotContactY,player1,player2,returnerName,shotHitBy,pointWonBy
,,,,1,,,,206.0,1.0,,1.0,,,T,,,,,,,,0-0,0-0,,,,0-0,Rudy Quan,,,,,50950,,,,,,,-36.0,,Near,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,1,,,,,,,2.0,,,,,,,,-369.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,53917,-97.0,,,,,,,,Near,,,Deuce,,,-76.0,,,,,,,,,473.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,1,,,,,,,3.0,,,,,,,,410.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,55471,71.0,,,,,,,,Near,,,Ad,,,-113.0,,,,,,,,,-543.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,1,,,,,,,4.0,,,,,,,,-219.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,56966,-132.0,,,,,,,,Near,,,Ad,,,148.0,,,,,,,,,476.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,1,,,,,,,5.0,,,,,,,,426.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,58455,50.0,,,,,,,,Near,,,Ad,,,-236.0,,,,,,,,,-516.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,1,,,,,,,6.0,,,,,,,,-297.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,60114,44.0,,,,,,,,Near,,,Ad,,,74.0,,,,,,,,,487.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,1,,,,,,,7.0,,,,,,,,429.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,61281,-86.0,,,,,,,,Near,,,Deuce,,,74.0,,,,,,,,,-575.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,1,,,,,,,8.0,,,,,,,,-382.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,62774,4.0,,,,,,,,Near,,,Deuce,,,-86.0,,,,,,,,,511.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,1,,,,,,,9.0,,,,,,,,359.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,64093,23.0,,,,,,,,Near,,,Deuce,,,68.0,,,,,,,,,-556.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,1,,,,,,,10.0,,,,,,,,-291.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,65321,74.0,,,,,,,,Near,,,Deuce,,,-22.0,,,,,,,,,495.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,1,,,,,,,11.0,,,,,,,,399.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,66632,87.0,,,,,,,,Near,,,Deuce,,,122.0,,,,,,,,,-543.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,1,,,,,,,12.0,,,,,,,,-326.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,68195,-20.0,,,,,,,,Near,,,Ad,,,20.0,,,,,,,,,492.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,1,,,,,,,13.0,,,,,,,,282.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,69562,18.0,,,,,,,,Near,,,Ad,,,-49.0,,,,,,,,,-529.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,1,,,,,,,14.0,,,,,,,,-230.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,70897,-118.0,,,,,,,,Near,,,Ad,,,31.0,,,,,,,,,519.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,1,,,,,,,15.0,,,,,,,,413.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,72447,92.0,,,,,,,,Near,,,Ad,,,-180.0,,,,,,,,,-516.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,1,,,,,,,16.0,,,,,,,,-267.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,74342,-94.0,,,,,,,,Near,,,Ad,,,148.0,,,,,,,,,521.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,1,,,,,,,17.0,,,,,,,,439.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,75590,28.0,,,,,,,,Near,,,Ad,,,-172.0,,,,,,,,,-521.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,1,,,,,,,18.0,,,,,,,,-259.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,77632,-46.0,,,,,,,,Near,,,Ad,,,63.0,,,,,,,,,489.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,1,,,,,,,19.0,,,,,,,,439.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,78808,50.0,,,,,,,,Near,,,Ad,,,-97.0,,,,,,,,,-516.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,1,,,,,,,20.0,,,,,,,,-294.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,80112,-78.0,,,,,,,,Near,,,Ad,,,66.0,,,,,,,,,476.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,1,,,,,,,21.0,,,,,,,,418.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,81354,63.0,,,,,,,,Near,,,Ad,,,-68.0,,,,,,,,,-521.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,1,,,,,,,22.0,,,,,,,,-379.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,82855,-33.0,,,,,,,,Near,,,Ad,,,114.0,,,,,,,,,476.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,1,,,,,,,23.0,,,,,,,,367.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,84175,60.0,,,,,,,,Near,,,Ad,,,-65.0,,,,,,,,,-497.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,1.0,,1,,,,,,,24.0,,,,,1.0,,,2.0,,,0-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,85396,132.0,,,,,88104.0,,,Near,,,Ad,,,82.0,,1.0,,,,,,,503.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,,,,2,,,,193.0,1.0,,1.0,,,Body,,,,,,,,15-0,0-0,,,,0-0,Rudy Quan,,,,,116419,,,,,,,71.0,,Near,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,2,,,,,,,2.0,,,,,,,,-329.0,,,15-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,118996,-44.0,,,,,,,,Near,,,Ad,,,106.0,,,,,,,,,479.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,2,,,,,,,3.0,,,,,,,,423.0,,,15-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,120736,52.0,,,,,,,,Near,,,Ad,,,-110.0,,,,,,,,,-532.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,2,,,,,,,4.0,,,,,,,,-411.0,,,15-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,122271,12.0,,,,,,,,Near,,,Ad,,,98.0,,,,,,,,,497.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,2,,,,,,,5.0,,,,,,,,426.0,,,15-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,123655,79.0,,,,,,,,Near,,,Ad,,,-54.0,,,,,,,,,-575.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,2,,,,,,,6.0,,,,,,,,-294.0,,,15-0,0-0,,,,0-0,Rudy Quan,,Backhand,,,125365,-78.0,,,,,,,,Near,,,Ad,,,100.0,,,,,,,,,497.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,2,,,,,,,7.0,,,,,1.0,,,-14.0,,,15-0,0-0,,,,0-0,Rudy Quan,,Forehand,,,126706,-102.0,,,,,128088.0,,,Near,,,Ad,,,-156.0,,1.0,,,,,,,-532.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,,,Body,3,,,-62.0,254.0,0.0,,1.0,,,Body,,,,,,,,15-15,0-0,,,,0-0,Rudy Quan,,,,,151811,,,,,,,-97.0,,Near,1.0,,Deuce,,,,,,,1.0,,,,185.0,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,,,,3,,,,182.0,1.0,,1.0,,,Wide,,,,,,,,15-15,0-0,,,,0-0,Rudy Quan,,,,,151942,,,,,,,-113.0,,Near,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,3,,,,,,,2.0,,,,,,,,-291.0,,,15-15,0-0,,,,0-0,Rudy Quan,,Forehand,,,168083,-108.0,,,,,,,,Near,,,Deuce,,,-140.0,,,,,,,,,495.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,3,,,,,,,2.0,,,,,,,,-371.0,,,15-15,0-0,,,,0-0,Rudy Quan,,Forehand,,,168676,-113.0,,,,,,,,Near,,,Deuce,,,-150.0,,,,,,,,,495.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,3,,,,,,,3.0,,,,,,,,391.0,,,15-15,0-0,,,,0-0,Rudy Quan,,Backhand,,,169371,47.0,,,,,,,,Near,,,Ad,,,-129.0,,,,,,,,,-527.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,3,,,,,,,3.0,,,,,,,,375.0,,,15-15,0-0,,,,0-0,Rudy Quan,,Backhand,,,169816,63.0,,,,,,,,Near,,,Ad,,,-172.0,,,,,,,,,-529.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,3,,,,,,,4.0,,,,,,,,-339.0,,,15-15,0-0,,,,0-0,Rudy Quan,,Backhand,,,170691,-126.0,,,,,,,,Near,,,Ad,,,98.0,,,,,,,,,481.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,3,,,,,,,4.0,,,,,,,,-342.0,,,15-15,0-0,,,,0-0,Rudy Quan,,Backhand,,,170970,-126.0,,,,,,,,Near,,,Ad,,,68.0,,,,,,,,,492.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,3,,,,,,,5.0,,,,,,,,389.0,,,15-15,0-0,,,,0-0,Rudy Quan,,Backhand,,,172131,124.0,,,,,,,,Near,,,Ad,,,-193.0,,,,,,,,,-535.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,3,,,,,,,5.0,,,,,,,,405.0,,,15-15,0-0,,,,0-0,Rudy Quan,,Backhand,,,172249,172.0,,,1.0,,174338.0,,,Near,,,Ad,,,-212.0,,1.0,,,,,,,-529.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,,,,4,,,,227.0,1.0,,1.0,,,T,,,,,,,,15-30,0-0,,,,0-0,Rudy Quan,,,,,203892,,,,,,,47.0,,Near,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,4,,,,,,,2.0,,,,,,,,-409.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,208362,-17.0,,,,,,,,Near,,,Ad,,,36.0,,,,,,,,,489.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,4,,,,,,,3.0,,,,,,,,311.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,208363,55.0,,,,,,,,Near,,,Ad,,,-20.0,,,,,,,,,-564.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,4,,,,,,,4.0,,,,,,,,-339.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,209686,20.0,,,,,,,,Near,,,Ad,,,60.0,,,,,,,,,503.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,4,,,,,,,5.0,,,,,,,,386.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,211031,-73.0,,,,,,,,Near,,,Ad,,,-22.0,,,,,,,,,-524.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,4,,,,,,,6.0,,,,,,,,-321.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,212453,92.0,,,,,,,,Near,,,Deuce,,,-84.0,,,,,,,,,489.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,4,,,,,,,7.0,,,,,,,,293.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,213708,-9.0,,,,,,,,Near,,,Deuce,,,146.0,,,,,,,,,-529.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,4,,,,,,,8.0,,,,,,,,-331.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,214880,-65.0,,,,,,,,Near,,,Deuce,,,-33.0,,,,,,,,,521.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,4,,,,,,,9.0,,,,,,,,213.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,216146,50.0,,,,,,,,Near,,,Ad,,,-110.0,,,,,,,,,-524.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,1.0,,4,,,,,,,10.0,,,,,,,,-321.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,217382,-30.0,,,,,,,,Near,,,Ad,,,63.0,,,,,,,,,497.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,4,,,,,,,11.0,,,,,,,,325.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,219340,-102.0,,,,,,,,Near,,,Ad,,,-17.0,,,,,,,,,-476.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,4,,,,,,,12.0,,,,,,,,-283.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,220785,-102.0,,,,,,,,Near,,,Deuce,,,-156.0,,,,,,,,,516.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,4,,,,,,,13.0,,,,,,,,383.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,222224,84.0,,,,,,,,Near,,,Ad,,,-100.0,,,,,,,,,-484.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,4,,,,,,,14.0,,,,,1.0,,,18.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,223607,-14.0,,,,,225230.0,,,Near,,,Ad,,,148.0,,1.0,,,,,,,497.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
