pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,14976,1.0,,1,,1,Deuce,Anne Lutkemeyer,Far,0.0,Body,67.0,4.0,0.0,Body,61.0,1.0,,,,,,,,,,,,,,,,,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,1,Catherine Gagnon,0,Double Fault,Body,
0-15,0-0,0-0,1.0,21747,,19587.0,2,,1,Ad,Anne Lutkemeyer,Far,0.0,Body,-72.0,2.0,1.0,Body,-75.0,-186.0,,,,,,,,,,,,,,,,,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,2nd Serve In,Body,
0-15,0-0,0-0,,44964,,,2,,2,Ad,Anne Lutkemeyer,Far,,,,,,,,,,-157.0,-473.0,Crosscourt,Forehand,,,,,,,,,,3.0,385.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,1,,,,0,,,Deep
0-15,0-0,0-0,,46636,,,2,,3,Ad,Anne Lutkemeyer,Far,,,,,,,,,,48.0,507.0,Crosscourt,Forehand,,,,,,,,,,-59.0,-318.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,1,,,,0,,,Short
0-15,0-0,0-0,,47618,,,2,,4,Ad,Anne Lutkemeyer,Far,,,,,,,,,,-115.0,-481.0,Down the Line,Backhand,,,,,,,,,,-5.0,375.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,,0,,,Deep
0-15,0-0,0-0,,49930,,,2,,5,Ad,Anne Lutkemeyer,Far,,,,,,,,,,11.0,379.0,Crosscourt,Forehand,,,,,,,,,,-56.0,-395.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,1,,,,0,,,Deep
0-15,0-0,0-0,,50493,,,2,,6,Ad,Anne Lutkemeyer,Far,,,,,,,,,,-43.0,-487.0,Down the Line,Backhand,,,,,,,,,,-109.0,156.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,,0,,,Short
0-15,0-0,0-0,,52185,1.0,,2,,7,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,-88.0,166.0,Down the Line,Forehand,,,,,,,,,,-104.0,-358.0,1.0,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,Anne Lutkemeyer,0,,,Deep
15-15,0-0,0-0,1.0,54026,,54264.0,3,,1,Deuce,Anne Lutkemeyer,Far,1.0,Wide,117.0,-163.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,1st Serve In,Wide,
15-15,0-0,0-0,,81932,,,3,,2,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,189.0,-476.0,Crosscourt,Forehand,,,,,,,,,,-29.0,412.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,,0,,,Deep
