pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,50,,,1,,1,Deuce,Kaylan Bigun,Near,1.0,T,-21.1946741,221.41385061230903,,,,,,17.11570428695529,-449.7049103,,,1.0,,,,,,,,,,,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,,,,Miguel Perez Pena,Kaylan Bigun,,,,,,1st Serve In,T,
0-0,0-0,0-0,,920,,,1,,2,Deuce,Kaylan Bigun,Near,,,,,,,,,,-31.92494532,544.5164424756592,Down the Line,Backhand,,,,,,,,,,-9.225776465,-260.8062664,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Miguel Perez Pena,Miguel Perez Pena,,1.0,,,,,,Short
0-0,0-0,0-0,,2280,,,1,,3,Deuce,Kaylan Bigun,Near,,,,,,,,,,2.0807852143471317,-415.9490868,Down the Line,Backhand,,,,,,,,,,104.86132436565012,270.7695538056345,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Miguel Perez Pena,Kaylan Bigun,,,,,,,,Short
0-0,0-0,0-0,,3450,1.0,3450.0,1,,4,Ad,Kaylan Bigun,Near,,,,,,,,,,125.66975065610303,477.4876531056151,Crosscourt,Backhand,,,,,,,,,,-16.56249453,-463.4280184,,,,,1.0,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Miguel Perez Pena,Miguel Perez Pena,,,,Kaylan Bigun,1,,,Long
15-0,0-0,0-0,1.0,22219,,,2,,1,Ad,Kaylan Bigun,Near,1.0,Wide,134.20521106729726,196.30024059482423,,,,,,-85.93372703,-496.2186625,,,1.0,,,,,,,,,,,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,,,,Miguel Perez Pena,Kaylan Bigun,,,,,,1st Serve In,Wide,
15-0,0-0,0-0,,23180,,,2,,2,Ad,Kaylan Bigun,Near,,,,,,,,,,177.0678477689374,507.4476377950135,Down the Line,Backhand,,,,,,,,,,77.84682852,-237.1157371,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Miguel Perez Pena,Miguel Perez Pena,,,,,,,,Short
15-0,0-0,0-0,,24580,1.0,24580.0,2,,3,Deuce,Kaylan Bigun,Near,,,,,,,,,,13.33915682414009,-449.3436953,Crosscourt,Backhand,,,,,,,,,,-75.35361439,-11.69820647,,,,1.0,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Miguel Perez Pena,Kaylan Bigun,,,,Miguel Perez Pena,1,,,
15-15,0-0,0-0,1.0,53950,,,3,,1,Deuce,Kaylan Bigun,Near,1.0,T,-10.37885499,234.10261373566212,,,,,,26.922058180213565,-483.0347168,,,,,,,,,,,,,,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Miguel Perez Pena,Kaylan Bigun,,,,,,1st Serve In,T,
15-15,0-0,0-0,,54759,,,3,,2,Deuce,Kaylan Bigun,Near,,,,,,,,,,-49.89880796,535.0318022744392,Down the Line,Backhand,1.0,,,,,,,,,-39.1655129,-178.6023895,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,,,,Miguel Perez Pena,Miguel Perez Pena,,1.0,,,,,,Short
15-15,0-0,0-0,,56779,1.0,56779.0,3,,3,Ad,Kaylan Bigun,Near,,,,,,,,,,-51.99869313,-331.6789698,Down the Line,Backhand,,,,,,,,,,-156.8868493,449.6312664039672,1.0,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Miguel Perez Pena,Kaylan Bigun,,1.0,,Kaylan Bigun,,,,Deep
