pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,1770,,,1,,1,Deuce,Kaylan Bigun,Near,,,,,0.0,Wide,230.033098206355,245.613188976251,,22.0124125109248,-445.527684820417,,,1.0,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,,,,Savriyan Danilov,Kaylan Bigun,,,,,,Double Fault,Wide,
0-0,0-0,0-0,,2880,,,1,,2,Ad,Kaylan Bigun,Near,,,,,,,,,,5.62518591425781,515.497790900871,Crosscourt,Backhand,,,,,,,,,,-89.7778324583963,-299.741661198445,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Savriyan Danilov,,,,,,,,Short
0-0,0-0,0-0,,4580,1.0,4580.0,1,,3,Ad,Kaylan Bigun,Near,,,,,,,,,,-103.000820209921,-514.843493000609,Crosscourt,Forehand,,,,,,,,,,33.3750874890466,316.50342300946,1.0,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Kaylan Bigun,,,,Kaylan Bigun,,,,Short
0-15,0-0,0-0,1.0,23180,1.0,23180.0,2,,1,Ad,Savriyan Danilov,Far,1.0,T,-0.380391513560608,-254.956780402318,,,,,1,151.759448818819,400.971505905305,,,,,,,,,,,,,,1.0,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Kaylan Bigun,Savriyan Danilov,,,,Savriyan Danilov,,1st Serve In,T,
0-30,0-0,0-0,1.0,47330,,,3,,1,Deuce,Kaylan Bigun,Near,,,,,0.0,T,-17.6960903324493,245.887746062865,,23.0959426946512,-436.902619203624,,,1.0,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,,,,Savriyan Danilov,Kaylan Bigun,,,,,,Double Fault,T,
0-30,0-0,0-0,,48180,1.0,48180.0,3,,2,Deuce,Kaylan Bigun,Near,,,,,,,,,,-5.03002515310326,462.111537620059,Down the Line,Backhand,1.0,,,,,,,,,-40.4503390201016,390.01681977232704,,,,1.0,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,,,,Savriyan Danilov,Savriyan Danilov,,1.0,,Kaylan Bigun,1,,,
0-40,0-0,0-0,1.0,71800,,,4,1.0,1,Ad,Kaylan Bigun,Near,0.0,Wide,127.796812117169,245.972030839768,1.0,T,41.3953083989288,227.303871390959,,-73.8096183289208,-439.936526683937,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Kaylan Bigun,,,,,,2nd Serve In,T,
0-40,0-0,0-0,,96599,1.0,96599.0,4,1.0,2,Ad,Kaylan Bigun,Near,,,,,,,,,,69.7101323271731,514.7677438755,Crosscourt,Forehand,,,,,,,,,,-64.0927548118654,-257.380178258835,1.0,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Savriyan Danilov,1.0,,,Savriyan Danilov,,,,Short
0-0,0-1,0-0,1.0,102180,,,5,,1,Deuce,Savriyan Danilov,Far,0.0,T,-7.4422080052455,-87.2091371390626,1.0,Body,-85.7254265091421,188.72517497803,,51.1989829396061,-443.160055774049,,,,,,,,,,,,,,,,,1.0,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Kaylan Bigun,Savriyan Danilov,,,,,,2nd Serve In,Body,
0-0,0-1,0-0,,163979,1.0,163979.0,5,,2,Deuce,Savriyan Danilov,Near,,,,,,,,,,-124.599234470627,526.563402230699,Down the Line,Backhand,,,,,,,,,,-63.2611220472114,193.619242125884,,,,1.0,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Kaylan Bigun,Kaylan Bigun,,,,Savriyan Danilov,1,,,
15-0,0-1,0-0,1.0,186100,,,6,,1,Ad,Savriyan Danilov,Near,0.0,Body,89.9953958879675,-42.9453138669944,1.0,Body,68.9736548556074,165.643241469731,,-51.1137412510672,-486.169865485313,,,1.0,,,,,,,,,,,,,,1.0,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,,,,Kaylan Bigun,Savriyan Danilov,,,,,,2nd Serve In,Body,
