pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,478530,,,1,,1,Deuce,Iiro Vasa,Near,1.0,Wide,-133.0,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,1st Serve In,Wide,
0-0,0-0,0-0,,486596,1.0,487867.0,1,,2,Deuce,Iiro Vasa,Near,,,,,,,,,,-181.0,468.0,Down the Line,Forehand,,,,,,,,,,-69.0,2.0,,,,1.0,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,Iiro Vasa,1,,,
15-0,0-0,0-0,1.0,487857,,,2,,1,Ad,Iiro Vasa,Near,1.0,Wide,131.0,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,1st Serve In,Wide,
15-0,0-0,0-0,,522739,,,2,,2,Ad,Iiro Vasa,Near,,,,,,,,,,133.0,412.0,Crosscourt,Backhand,,,,,,,,,,-45.0,-448.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Deep
15-0,0-0,0-0,,524408,,,2,,3,Ad,Iiro Vasa,Near,,,,,,,,,,-56.0,-517.0,Crosscourt,Forehand,,,,,,,,,,67.0,223.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,1.0,,,,,,,Short
15-0,0-0,0-0,,526049,,,2,,4,Ad,Iiro Vasa,Near,,,,,,,,,,86.0,463.0,Crosscourt,Backhand,,,,,,,,,,-80.0,-366.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Deep
15-0,0-0,0-0,,527629,,,2,,5,Ad,Iiro Vasa,Near,,,,,,,,,,-125.0,-469.0,Down the Line,Forehand,,,,,,,,,,-80.0,330.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,1.0,,,,,,Short
15-0,0-0,0-0,,528943,,,2,,6,Deuce,Iiro Vasa,Near,,,,,,,,,,-72.0,476.0,Crosscourt,Forehand,,,,,,,,,,19.0,-323.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
15-0,0-0,0-0,,530223,,,2,,7,Deuce,Iiro Vasa,Near,,,,,,,,,,24.0,-462.0,Crosscourt,Forehand,,,,,,,,,,-88.0,447.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Iiro Vasa,,,,,,,,Deep
15-0,0-0,0-0,,531548,,,2,,8,Deuce,Iiro Vasa,Near,,,,,,,,,,-98.0,460.0,Down the Line,Forehand,,,,,,,,,,-125.0,-259.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Rudy Quan,Rudy Quan,,,,,,,,Short
