pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,18751,,,1,,1,Deuce,Spencer Johnson,Far,1.0,Body,51.0,-236.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,1st Serve In,Body,
0-0,0-0,0-0,,22900,,,1,,2,Deuce,Spencer Johnson,Far,,,,,,,,,,65.0,-576.0,Down the Line,Backhand,,,,,,,,,,57.0,222.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,1,,,0,,,Short
0-0,0-0,0-0,,23754,,,1,,3,Ad,Spencer Johnson,Far,,,,,,,,,,73.0,224.0,Crosscourt,Forehand,,1.0,,,,,,,,-98.0,-321.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
0-0,0-0,0-0,,24792,,,1,,4,Ad,Spencer Johnson,Far,,,,,,,,,,-146.0,-485.0,Down the Line,Backhand,,,,,,,,,,-26.0,135.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
0-0,0-0,0-0,,25983,,,1,,5,Ad,Spencer Johnson,Far,,,,,,,,,,1.0,99.0,Crosscourt,Forehand,,,,,,,,,,-122.0,-364.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Deep
0-0,0-0,0-0,,26885,1.0,29326.0,1,,6,Ad,Spencer Johnson,Far,,,,,,,,,,-132.0,-389.0,Down the Line,Backhand,,,,,,,,,,-306.0,233.0,,,1.0,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,Spencer Johnson,1,,,
15-0,0-0,0-0,1.0,66367,,,2,,1,Ad,Spencer Johnson,Far,1.0,Body,-95.0,-161.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,1st Serve In,Body,
15-0,0-0,0-0,,70744,,,2,,2,Ad,Spencer Johnson,Far,,,,,,,,,,-314.0,-562.0,Down the Line,Backhand,,,,,,,,,,-23.0,377.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Deep
15-0,0-0,0-0,,72673,,,2,,4,Deuce,Spencer Johnson,Far,,,,,,,,,,195.0,-560.0,Crosscourt,Forehand,,,,,,,,,,-76.0,340.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
15-0,0-0,0-0,,72687,,,2,,3,Deuce,Spencer Johnson,Far,,,,,,,,,,-37.0,517.0,Crosscourt,Forehand,,,,,,,,,,86.0,-201.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,1,,,,0,,,Short
15-0,0-0,0-0,,74236,,,2,,5,Deuce,Spencer Johnson,Far,,,,,,,,,,-111.0,501.0,Crosscourt,Backhand,,,,,,,,,,17.0,-276.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
15-0,0-0,0-0,,75440,,,2,,6,Deuce,Spencer Johnson,Far,,,,,,,,,,86.0,-568.0,Crosscourt,Forehand,,,,,,,,,,-52.0,364.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Deep
15-0,0-0,0-0,,76878,,,2,,7,Deuce,Spencer Johnson,Far,,,,,,,,,,-92.0,488.0,Crosscourt,Backhand,,,,,,,,,,14.0,-84.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
15-0,0-0,0-0,,78166,,,2,,8,Deuce,Spencer Johnson,Far,,,,,,,,,,59.0,-485.0,Crosscourt,Forehand,,,,,,,,,,-79.0,270.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
15-0,0-0,0-0,,79418,,,2,,9,Deuce,Spencer Johnson,Far,,,,,,,,,,-127.0,498.0,Crosscourt,Backhand,,,,,,,,,,30.0,-260.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
15-0,0-0,0-0,,81260,,,2,,10,Deuce,Spencer Johnson,Far,,,,,,,,,,83.0,-437.0,Crosscourt,Forehand,,,,,,,,,,-79.0,334.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Oscar Pinto Sansano,,,,,0,,,Short
15-0,0-0,0-0,,82369,,,2,,11,Deuce,Spencer Johnson,Far,,,,,,,,,,-132.0,496.0,Crosscourt,Backhand,,,,,,,,,,1.0,-340.0,,,,,,UCLA,09/28/24,D1,ITA All-American Championships,,,,University of Georgia,Spencer Johnson,Oscar Pinto Sansano,Left,Right,Qualifying R1,Hard,,,Oscar Pinto Sansano,Spencer Johnson,,,,,0,,,Short
