pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,71000,,,1,,1,Deuce,Spencer Johnson,Far,1.0,Body,61.32410324,-202.5179462,,,,,,-21.92946741,431.5222113,,,,,,,,,,,,,,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Spencer Johnson,,,,,,1st Serve In,Body,
0-0,0-0,0-0,,71000,1.0,71000.0,1,,2,Deuce,Spencer Johnson,Far,,,,,,,,,,66.20419948,-487.2040956,Crosscourt,Backhand,,,,,,,,,,-229.03236,452.7498031,,,1.0,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Theo Papamalamis,1.0,,,Spencer Johnson,1,,,
15-0,0-0,0-0,1.0,93000,,,2,,1,Ad,Spencer Johnson,Far,0.0,T,-33.89691054,-354.3617946,1.0,Wide,-121.1161909,-229.8395341,,39.10932305,492.2467902,,,,,,,,,,,,,,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Spencer Johnson,,,,,,2nd Serve In,Wide,
15-0,0-0,0-0,,106000,1.0,106000.0,2,,2,Ad,Spencer Johnson,Far,,,,,,,,,,-181.0184383,-492.1958825,Down the Line,Backhand,1.0,,,,,,,,,-102.3385991,493.8007382,,,,,1.0,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,,,,Theo Papamalamis,Theo Papamalamis,,,,Spencer Johnson,1,,,Long
30-0,0-0,0-0,1.0,129000,,,3,,1,Deuce,Spencer Johnson,Far,1.0,Wide,123.4498305,-241.5150044,,,,,,-32.34904856,462.0879593,,,,,,,,,,,,,,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Spencer Johnson,,,,,,1st Serve In,Wide,
30-0,0-0,0-0,,129000,,,3,,2,Deuce,Spencer Johnson,Far,,,,,,,,,,153.2954451,-497.6804407,Down the Line,Forehand,,,,,,,,,,51.025514,196.6028543,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Theo Papamalamis,Theo Papamalamis,,,,,,,,Short
30-0,0-0,0-0,,131000,1.0,131000.0,3,,3,Ad,Spencer Johnson,Far,,,,,,,,,,43.32953303,428.4456255,Down the Line,Backhand,,,,,,,,,,155.1894029,-396.6832787,1.0,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Theo Papamalamis,Spencer Johnson,,1.0,,Spencer Johnson,,,,Deep
40-0,0-0,0-0,1.0,158000,1.0,158000.0,4,,1,Ad,Spencer Johnson,Far,1.0,T,-6.118799213,-226.6322725,,,,,1,32.79244313,502.6790026,,,,,,,,,,,,,,1.0,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Spencer Johnson,,,,Spencer Johnson,,1st Serve In,T,
0-0,1-0,0-0,1.0,234000,,,5,,1,Deuce,Theo Papamalamis,Far,0.0,T,-17.02123797,0.7165354331,1.0,Wide,119.6727472,-162.0753773,,-36.03009624,455.1794783,,,,,,,,,,,,,,,,,1.0,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Theo Papamalamis,,,,,,2nd Serve In,Wide,
0-0,1-0,0-0,,248000,,,5,,2,Deuce,Theo Papamalamis,Far,,,,,,,,,,172.9089567,-480.1986986,Down the Line,Forehand,,,,,,,,,,119.0485346,327.2100011,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Spencer Johnson,,1.0,,,,,,Short
