pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,0,,,1,,1,Deuce,Spencer Johnson,Near,1.0,Body,-93.415627733985,117.121467628986,,,,,,4.52255577427588,-479.91579724384707,,,,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Spencer Johnson,,,,,,1st Serve In,Body,
0-0,0-0,0-0,,999,,,1,,2,Deuce,Spencer Johnson,Near,,,,,,,,,,-144.702493438245,508.474710192213,Down the Line,Forehand,,,,,,,,,,-12.2918361767216,-111.149075896705,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Thomas Paulsell,,,,,,,,Short
0-0,0-0,0-0,,1999,1.0,1999.0,1,,3,Ad,Spencer Johnson,Near,,,,,,,,,,-12.2918361767216,-131.253674540615,Crosscourt,,,1.0,,,,,1,,,96.4611712597927,131.945598206406,1.0,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Spencer Johnson,,,,Spencer Johnson,,,,Short
15-0,0-0,0-0,1.0,22999,,,2,,1,Ad,Spencer Johnson,Near,1.0,Wide,157.304292432115,243.518547681414,,,,,,-67.3047626858795,-486.345631014622,,,,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,,1.0,,Thomas Paulsell,Spencer Johnson,,,,,,1st Serve In,Wide,
15-0,0-0,0-0,,23999,1.0,23999.0,2,,2,Ad,Spencer Johnson,Near,,,,,,,,,,191.042432195877,471.43897637770897,Down the Line,Backhand,,,,,,,,,,48.4183125546557,20.2895505249239,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Thomas Paulsell,,,,Spencer Johnson,1,,,
30-0,0-0,0-0,1.0,45999,,,3,,1,Deuce,Spencer Johnson,Near,0.0,Wide,-208.16579177592,331.036040026076,1.0,T,-18.5969652230875,243.029029964879,,13.4721675415503,-447.134990157249,,,1.0,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,,,,Thomas Paulsell,Spencer Johnson,,,,,,2nd Serve In,T,
30-0,0-0,0-0,,57999,1.0,57999.0,3,,2,Deuce,Spencer Johnson,Near,,,,,,,,,,-39.1670439632344,502.404062773144,Crosscourt,Backhand,,,,,,,,,,21.912625765518,8.24356408573506,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Thomas Paulsell,1.0,,,Spencer Johnson,1,,,
40-0,0-0,0-0,1.0,88999,,,4,,1,Ad,Spencer Johnson,Near,1.0,T,26.681069553792,215.450071084753,,,,,,-52.8801618547408,-470.180446193983,,,,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,,1.0,,Thomas Paulsell,Spencer Johnson,,,,,,1st Serve In,T,
40-0,0-0,0-0,,88999,1.0,88999.0,4,,2,Ad,Spencer Johnson,Near,,,,,,,,,,68.0799759404723,529.918181320811,Crosscourt,Forehand,,,,,,,,,,-72.622358923847,15.2399660979798,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Thomas Paulsell,Thomas Paulsell,1.0,,,Spencer Johnson,1,,,
0-0,1-0,0-0,1.0,143999,,,5,,1,Deuce,Thomas Paulsell,Near,1.0,Wide,-105.86152668411,242.569023403199,,,,,,12.0714785651731,-401.95662729638,,,,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Spencer Johnson,Thomas Paulsell,,,,,,1st Serve In,Wide,
0-0,1-0,0-0,,145000,1.0,145000.0,5,,2,Deuce,Thomas Paulsell,Near,,,,,,,,,,-166.552345800439,490.485460410945,Down the Line,Backhand,,,,,,,,,,-126.045702099672,-480.64232283439696,,,,,1.0,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Spencer Johnson,Spencer Johnson,,,,Thomas Paulsell,1,,,Long
15-0,1-0,0-0,1.0,158999,,,6,,1,Ad,Thomas Paulsell,Near,1.0,T,38.42180118108249,218.815184820534,,,,,,2.85190288713763,-459.95071631647295,,,,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Spencer Johnson,Thomas Paulsell,,,,,,1st Serve In,T,
15-0,1-0,0-0,,160000,,,6,,2,Ad,Thomas Paulsell,Near,,,,,,,,,,56.8630960192182,514.086001749516,Down the Line,Backhand,,,,,,,,,,64.1452701224516,-280.814140419802,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Spencer Johnson,,1.0,,,,,,Short
